# Generated by AstrophysicsAugmentationPipeline
# Export date: 2025-12-26T18:39:56.069046
#
P_EL,P_CW,P_ACW,P_EDGE,P_DK,P_MG,P_CS,P_EL_DEBIASED,P_CS_DEBIASED
0.871,0.0,0.016,0.048,0.048,0.016,0.065,0.794,0.136
0.714,0.0,0.018,0.107,0.143,0.018,0.125,0.702,0.137
0.613,0.0,0.032,0.161,0.161,0.032,0.194,0.403,0.35
0.633,0.02,0.041,0.265,0.041,0.0,0.327,0.347,0.597
0.185,0.0,0.0,0.574,0.148,0.093,0.574,0.068,0.666
0.824,0.029,0.029,0.088,0.029000000000000005,0.0,0.147,0.759,0.21
0.466,0.034,0.052,0.293,0.155,0.0,0.379,0.25,0.561
0.36,0.32,0.0,0.12000000000000001,0.2,0.0,0.44,0.057,0.659
0.366,0.098,0.073,0.244,0.22,0.0,0.415,0.269,0.499
0.081,0.0,0.0,0.919,0.0,0.0,0.919,0.019,0.981
0.517,0.034,0.0,0.379,0.034,0.034,0.414,0.141,0.749
0.9699999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.9679999999999999,0.0
0.444,0.222,0.0,0.333,0.0,0.0,0.556,0.19,0.81
0.021,0.043,0.0,0.9224599999999626,0.0,0.0,0.979,0.006,0.994
0.478,0.0,0.09,0.343,0.06,0.03,0.433,0.233,0.654
0.759,0.019,0.019,0.056,0.148,0.0,0.093,0.568,0.229
0.76,0.0,0.02,0.08,0.08,0.06,0.1,0.548,0.252
0.692,0.077,0.0,0.192,0.0,0.038,0.269,0.692,0.269
0.481,0.0,0.0,0.148,0.148,0.222,0.148,0.438,0.184
0.857,0.029,0.0,0.086,0.029000000000000005,0.0,0.114,0.695,0.269
0.679,0.036,0.0,0.107,0.161,0.018,0.143,0.531,0.259
